Chrt.fle-chck|fr_corrupt%4&$32@&*  5%^ 1123581321
4 155535 155535
4 155809 155809
4 156034 156034
4 156264 156264
4 156488 156488
12 156716 156716
8 156941 156941
4 157064 157064
8 157206 157206
4 157310 157310
4 157473 157473
12 157680 157680
8 157892 157892
4 158143 158143
4 158348 158348
12 158584 158584
8 158830 158830
4 158948 158948
8 159073 159073
4 159177 159177
8 159313 159313
12 159588 159588
8 159825 159825
4 160055 160055
4 160244 160244
12 160489 160489
8 160745 160745
4 160854 160854
8 160976 160976
4 161072 161072
8 161211 161211
12 161467 161467
8 161710 161710
4 161939 161939
4 162141 162141
12 162386 162386
8 162653 162653
4 162706 162706
8 162881 162881
4 162961 162961
8 163123 163123
12 163402 163402
8 163621 163621
4 163844 163844
4 164038 164038
12 164291 164291
8 164541 164541
4 164638 164638
8 164777 164777
4 164874 164874
8 165006 165006
12 165265 165265
8 165496 165496
4 165728 165728
4 165931 165931
12 166204 166204
8 166453 166453
4 166558 166558
8 166704 166704
4 166802 166802
8 166938 166938
12 167176 167176
8 167421 167421
4 167638 167638
8 167870 167870
12 168087 168087
8 168347 168347
4 168475 168475
8 168610 168610
4 168726 168726
8 168830 168830
20 169064 169064
8 169289 169289
20 169524 169524
24 170004 170004
12 170479 170479
10 170699 170699
4 170959 170959
2 171003 171003
1 171234 171234
3 171459 171459
3 171689 171689
3 171929 171929
3 172166 172166
2 173348 173348
4 173583 173583
8 173792 173792
16 174025 174025
24 174480 174480
12 174761 174761
2 175230 175230
2 175702 175702
8 175931 175931
16 176173 176173
8 176436 176436
4 176653 176653
2 177129 177129
2 177618 177618
4 177813 177813
8 178065 178065
16 178292 178292
8 178574 178574
4 178819 178819
2 178996 178996
1 179169 179169
2 179432 179432
4 179668 179668
8 179925 179925
16 180178 180178
8 180434 180434
2 180637 180637
8 180930 180930
4 181146 181146
2 181350 181350
1 181593 181593
2 181865 181865
4 182128 182128
8 182339 182339
2 182519 182519
4 182807 182807
8 183040 183040
16 183285 183285
8 183531 183531
4 183760 183760
2 183928 183928
4 184222 184222
2 184412 184412
1 184703 184703
2 184956 184956
4 185197 185197
8 185421 185421
16 185650 185650
8 185890 185890
4 186149 186149
2 186348 186348
8 186585 186585
2 186828 186828
4 187067 187067
8 187320 187320
16 187553 187553
8 187794 187794
4 188047 188047
2 188255 188255
8 188500 188500
2 188717 188717
4 188995 188995
8 189213 189213
16 189443 189443
8 189702 189702
4 189945 189945
2 190177 190177
4 190409 190409
2 190628 190628
8 190889 190889
16 191125 191125
8 191380 191380
4 191782 191782
2 192055 192055
8 192307 192307
2 192524 192524
4 192802 192802
8 193020 193020
16 193254 193254
8 193503 193503
4 193758 193758
2 193960 193960
8 194206 194206
2 194425 194425
4 194673 194673
8 194881 194881
16 195123 195123
8 195361 195361
2 195594 195594
4 195902 195902
2 196136 196136
4 196393 196393
8 196634 196634
16 196833 196833
8 197111 197111
4 197379 197379
2 197679 197679
4 197951 197951
2 198184 198184
4 198407 198407
8 198649 198649
16 198893 198893
8 199142 199142
4 199386 199386
2 199614 199614
8 199903 199903
2 200128 200128
4 200366 200366
8 200594 200594
16 200840 200840
8 201077 201077
4 201319 201319
2 201528 201528
4 201809 201809
2 202013 202013
4 202271 202271
8 202462 202462
16 205262 207246
20 209340 209340
20 209577 209577
24 209823 209823
16 210058 210058
16 210326 210326
16 210562 210562
20 210788 210788
20 211036 211036
24 211272 211272
24 211516 211516
20 211759 211759
20 211997 211997
24 212228 212228
24 212480 212480
24 212718 212718
24 212916 212916
26 213172 213172
18 213387 213387
10 213638 213638
10 213876 213876
6 214124 214124
6 214345 214345
5 214584 214584
5 214805 214805
10 215090 215090
10 215301 215301
6 215539 215539
10 215776 215776
10 216003 216003
10 216273 216273
10 216486 216486
2 216694 216694
8 216744 216744
20 217001 217001
20 217211 217211
24 217464 217464
16 217687 217687
16 217928 217928
24 218174 218174
24 218408 218408
24 218620 218620
10 218848 218848
10 219089 219089
6 219311 219311
10 219570 219570
10 219810 219810
10 220039 220039
10 220273 220273
10 220499 220499
24 220784 220784
24 221001 221001
20 221238 221238
20 221464 221464
10 221717 221717
10 221932 221932
5 222178 222178
3 222411 222411
3 222690 222690
3 222933 222933
3 223142 223142
3 223373 223373
3 223617 223617
3 223868 223868
3 224101 224101
3 224324 224324
10 224562 224562
10 224771 224771
20 225026 225026
4 225286 225286
4 225538 225538
4 225767 225767
4 226008 226008
20 226227 226227
12 226518 226518
12 226713 226713
10 226933 226933
12 227170 227170
2 227228 227228
6 227394 227394
6 227680 227680
6 227909 227909
6 228102 228102
9 228335 228335
9 228569 228569
3 228793 228793
3 229013 229013
6 229287 229287
6 229490 229490
9 229796 229796
6 230017 230017
6 230272 230272
6 230510 230510
6 230785 230785
6 230998 230998
6 231214 231214
6 231462 231462
6 231692 231692
6 231968 231968
20 232200 232200
20 232415 232415
12 232628 232628
6 232856 232856
6 233102 233102
6 233360 233360
6 233591 233591
6 233804 233804
10 234067 234067
10 234269 234269
6 234534 234534
3 234768 234768
3 235017 235017
3 235246 235246
3 235463 235463
2 235693 235693
10 235981 235981
10 236197 236197
20 236443 236443
20 236674 236674
12 236909 236909
12 237129 237129
20 237392 237392
4 237619 237619
4 237863 237863
20 238091 238091
20 238335 238335
20 238569 238569
20 238816 238816
20 239050 239050
20 239279 239279
12 239800 239800
12 240061 240061
2 240325 240325
10 240532 241292
End''off/chartnw|enofile|checsotrirnugpted$$33&8!@/ 1@1$ 144847
